# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AMD1	YML035C	YML035C_mRNA	protein_coding	0	7	0	19	2	0	0	0	0	0	0	0	7	17
AMD2	YDR242W	YDR242W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	3	1	28	16	0	0	1	0	0	0	0	3	12
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	0	0	21	19	0	0	0	0	0	0	0	0	2
ANT1	YPR128C	YPR128C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APA1	YCL050C	YCL050C_mRNA	protein_coding	0	4	1	38	20	0	0	1	0	0	0	0	4	18
APC4	YDR118W	YDR118W_mRNA	protein_coding	0	0	0	7	6	0	0	0	0	0	0	0	0	1
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0
APL2	YKL135C	YKL135C_mRNA	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	1
APL5	YPL195W	YPL195W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APN2	YBL019W	YBL019W_mRNA	protein_coding	0	2	3	35	23	0	0	3	0	0	0	0	2	12
APS1	YLR170C	YLR170C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
APS2	YJR058C	YJR058C_mRNA	protein_coding	0	2	0	25	15	0	0	0	0	0	0	0	2	10
AQY1	YPR192W	YPR192W_mRNA	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	13
ARC18	YLR370C	YLR370C_mRNA	protein_coding	0	1	0	3	3	0	0	0	0	0	0	0	1	0
ARD1	YHR013C	YHR013C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARG5,6	YER069W	YER069W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ARG81	YML099C	YML099C_mRNA	protein_coding	0	7	9	33	8	0	0	9	0	0	0	0	7	25
ARK1	YNL020C	YNL020C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ARO1	YDR127W	YDR127W_mRNA	protein_coding	0	0	2	22	0	0	0	2	0	0	0	0	0	22
ARP10	YDR106W	YDR106W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ARP3	YJR065C	YJR065C_mRNA	protein_coding	0	1	0	16	12	0	0	0	0	0	0	0	1	4
ARP4	YJL081C	YJL081C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ARP6	YLR085C	YLR085C_mRNA	protein_coding	0	4	0	19	6	0	0	0	0	0	0	0	4	13
ARV1	YLR242C	YLR242C_mRNA	protein_coding	0	2	0	14	7	0	0	0	0	0	0	0	2	7
ARX1	YDR101C	YDR101C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ASG7	YJL170C	YJL170C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ASM4	YDL088C	YDL088C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ATG12	YBR217W	YBR217W_mRNA	protein_coding	0	0	0	29	15	0	0	0	0	0	0	0	0	14
ATG13	YPR185W	YPR185W_mRNA	protein_coding	0	2	2	0	0	0	0	2	0	0	0	0	2	0
ATG22	YCL038C	YCL038C_mRNA	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0
ATG26	YLR189C	YLR189C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATG33	YLR356W	YLR356W_mRNA	protein_coding	0	0	2	6	3	0	0	2	0	0	0	0	0	3
ATG8	YBL078C	YBL078C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP14	YLR295C	YLR295C_mRNA	protein_coding	0	2	0	28	11	0	0	0	0	0	0	0	2	17
ATP15	YPL271W	YPL271W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP18	YML081C-A	YML081C-A_mRNA	protein_coding	0	0	0	20	19	0	0	0	0	0	0	0	0	1
ATP22	YDR350C	YDR350C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP7	YKL016C	YKL016C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ATR1	YML116W	YML116W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
AVL9	YLR114C	YLR114C_mRNA	protein_coding	0	9	3	34	11	0	0	3	0	0	0	0	9	23
AVT2	YEL064C	YEL064C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AVT4	YNL101W	YNL101W_mRNA	protein_coding	0	1	0	5	4	0	0	0	0	0	0	0	1	1
AYR1	YIL124W	YIL124W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BAR1	YIL015W	YIL015W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
BCK2	YER167W	YER167W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BDP1	YNL039W	YNL039W_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
BEM2	YER155C	YER155C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BET2	YPR176C	YPR176C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BET5	YML077W	YML077W_mRNA	protein_coding	0	0	0	13	11	0	0	0	0	0	0	0	0	2
BFA1	YJR053W	YJR053W_mRNA	protein_coding	0	2	2	26	20	0	0	2	0	0	0	0	2	6
BIK1	YCL029C	YCL029C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
BIO2	YGR286C	YGR286C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BIR1	YJR089W	YJR089W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BMH2	YDR099W	YDR099W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BMS1	YPL217C	YPL217C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BMT5	YIL096C	YIL096C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BMT6	YLR063W	YLR063W_mRNA	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0
BNA5	YLR231C	YLR231C_mRNA	protein_coding	0	0	0	35	18	0	0	0	0	0	0	0	0	17
BNA6	YFR047C	YFR047C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
BOP2	YLR267W	YLR267W_mRNA	protein_coding	0	1	1	17	6	0	0	1	0	0	0	0	1	11
BOP3	YNL042W	YNL042W_mRNA	protein_coding	0	0	0	15	5	0	0	0	0	0	0	0	0	10
BOS1	YLR078C	YLR078C_mRNA	protein_coding	0	0	0	38	21	0	0	0	0	0	0	0	0	17
BPL1	YDL141W	YDL141W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
BSC2	YDR275W	YDR275W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BSC3	YLR465C	YLR465C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BSP1	YPR171W	YPR171W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BTT1	YDR252W	YDR252W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD16	YEL029C	YEL029C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD20	YLR074C	YLR074C_mRNA	protein_coding	0	2	1	21	3	0	0	1	0	0	0	0	2	18
BUD26	YDR241W	YDR241W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD28	YLR062C	YLR062C_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	8
BUD4	YJR092W	YJR092W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BUD6	YLR319C	YLR319C_mRNA	protein_coding	0	4	2	21	16	0	0	2	0	0	0	0	4	5
BUD8	YLR353W	YLR353W_mRNA	protein_coding	0	2	4	21	2	0	0	4	0	0	0	0	2	19
BUD9	YGR041W	YGR041W_mRNA	protein_coding	0	4	6	28	20	0	0	6	0	0	0	0	4	8
BUL2	YML111W	YML111W_mRNA	protein_coding	0	0	1	30	24	0	0	1	0	0	0	0	0	6
BUR2	YLR226W	YLR226W_mRNA	protein_coding	0	1	0	13	5	0	0	0	0	0	0	0	1	8
BXI1	YNL305C	YNL305C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CAC2	YML102W	YML102W_mRNA	protein_coding	0	0	0	15	10	0	0	0	0	0	0	0	0	5
CAN1	YEL063C	YEL063C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CAT2	YML042W	YML042W_mRNA	protein_coding	0	2	0	15	8	0	0	0	0	0	0	0	2	7
CAT5	YOR125C	YOR125C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CAX4	YGR036C	YGR036C_mRNA	protein_coding	0	0	0	9	6	0	0	0	0	0	0	0	0	3
CBF1	YJR060W	YJR060W_mRNA	protein_coding	0	0	0	23	9	0	0	0	0	0	0	0	0	14
CBK1	YNL161W	YNL161W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CBR1	YIL043C	YIL043C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCA1	YER168C	YER168C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCC1	YLR220W	YLR220W_mRNA	protein_coding	0	3	0	6	6	0	0	0	0	0	0	0	3	0
CCC2	YDR270W	YDR270W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCP1	YKR066C	YKR066C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCT4	YDL143W	YDL143W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCT5	YJR064W	YJR064W_mRNA	protein_coding	0	2	0	17	4	0	0	0	0	0	0	0	2	13
CCT8	YJL008C	YJL008C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CCW12	YLR110C	YLR110C_mRNA	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	12
CDA1	YLR307W	YLR307W_mRNA	protein_coding	0	2	0	21	11	0	0	0	0	0	0	0	2	10
CDA2	YLR308W	YLR308W_mRNA	protein_coding	0	2	3	17	8	0	0	3	0	0	0	0	2	9
CDC11	YJR076C	YJR076C_mRNA	protein_coding	0	0	0	13	13	0	0	0	0	0	0	0	0	0
CDC123	YLR215C	YLR215C_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CDC13	YDL220C	YDL220C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDC25	YLR310C	YLR310C_mRNA	protein_coding	0	5	2	32	11	0	0	2	0	0	0	0	5	21
CDC26	YFR036W	YFR036W_mRNA	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0
CDC3	YLR314C	YLR314C_mRNA	protein_coding	0	2	0	38	22	0	0	0	0	0	0	0	2	16
CDC42	YLR229C	YLR229C_mRNA	protein_coding	0	0	1	39	26	0	0	1	0	0	0	0	0	13
CDC45	YLR103C	YLR103C_mRNA	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0
CDC8	YJR057W	YJR057W_mRNA	protein_coding	0	1	1	30	12	0	0	1	0	0	0	0	1	18
CDD1	YLR245C	YLR245C_mRNA	protein_coding	0	0	0	14	7	0	0	0	0	0	0	0	0	7
CFT2	YLR115W	YLR115W_mRNA	protein_coding	0	11	3	31	10	0	0	3	0	0	0	0	11	21
CGI121	YML036W	YML036W_mRNA	protein_coding	0	0	0	21	19	0	0	0	0	0	0	0	0	2
CHA1	YCL064C	YCL064C_mRNA	protein_coding	0	2	0	38	14	0	0	0	0	0	0	0	2	24
CHA4	YLR098C	YLR098C_mRNA	protein_coding	0	2	1	9	4	0	0	1	0	0	0	0	2	5
CHL4	YDR254W	YDR254W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CHS3	YBR023C	YBR023C_mRNA	protein_coding	0	1	0	4	4	0	0	0	0	0	0	0	1	0
CHS5	YLR330W	YLR330W_mRNA	protein_coding	0	2	7	22	12	0	0	7	0	0	0	0	2	10
CIA2	YHR122W	YHR122W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CIN1	YOR349W	YOR349W_mRNA	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	6
CIN5	YOR028C	YOR028C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CIS1	YLR346C	YLR346C_mRNA	protein_coding	0	0	0	32	21	0	0	0	0	0	0	0	0	11
CLB2	YPR119W	YPR119W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CLB5	YPR120C	YPR120C_mRNA	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0
CLF1	YLR117C	YLR117C_mRNA	protein_coding	0	3	2	26	23	0	0	2	0	0	0	0	3	3
CMC1	YKL137W	YKL137W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CMG1	YLR271W	YLR271W_mRNA	protein_coding	0	1	0	15	6	0	0	0	0	0	0	0	1	9
CNN1	YFR046C	YFR046C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
COA2	YPL189C-A	YPL189C-A_mRNA	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	1
COA4	YLR218C	YLR218C_mRNA	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	0	4
COG1	YGL223C	YGL223C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
COG6	YNL041C	YNL041C_mRNA	protein_coding	0	0	0	15	10	0	0	0	0	0	0	0	0	5
COG8	YML071C	YML071C_mRNA	protein_coding	0	2	3	27	14	0	0	3	0	0	0	0	2	13
COQ1	YBR003W	YBR003W_mRNA	protein_coding	0	4	1	32	19	0	0	1	0	0	0	0	4	13
COQ11	YLR290C	YLR290C_mRNA	protein_coding	0	1	0	34	17	0	0	0	0	0	0	0	1	17
COQ4	YDR204W	YDR204W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
COQ5	YML110C	YML110C_mRNA	protein_coding	0	2	2	30	7	0	0	2	0	0	0	0	2	23
COS3	YML132W	YML132W_mRNA	protein_coding	0	0	0	22	22	0	0	0	0	0	0	0	0	0
COS7	YDL248W	YDL248W_mRNA	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	1
COX14	YML129C	YML129C_mRNA	protein_coding	0	0	0	36	16	0	0	0	0	0	0	0	0	20
COX26	YDR119W-A	YDR119W-A_mRNA	protein_coding	0	0	0	13	12	0	0	0	0	0	0	0	0	1
CPR3	YML078W	YML078W_mRNA	protein_coding	0	0	0	13	11	0	0	0	0	0	0	0	0	2
CPR6	YLR216C	YLR216C_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
CPR7	YJR032W	YJR032W_mRNA	protein_coding	0	0	0	20	9	0	0	0	0	0	0	0	0	11
CPS1	YJL172W	YJL172W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CPT1	YNL130C	YNL130C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CRD1	YDL142C	YDL142C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CRR1	YLR213C	YLR213C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CSC1	YLR241W	YLR241W_mRNA	protein_coding	0	3	0	11	6	0	0	0	0	0	0	0	3	5
CSF1	YLR087C	YLR087C_mRNA	protein_coding	0	8	4	32	15	0	0	4	0	0	0	0	8	17
CSM4	YPL200W	YPL200W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CTA1	YDR256C	YDR256C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CTK1	YKL139W	YKL139W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CTK2	YJL006C	YJL006C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CTK3	YML112W	YML112W_mRNA	protein_coding	0	0	1	12	10	0	0	1	0	0	0	0	0	2
CTL1	YMR180C	YMR180C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CTO1	YCR015C	YCR015C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CTR9	YOL145C	YOL145C_mRNA	protein_coding	0	0	0	14	14	0	0	0	0	0	0	0	0	0
CTS1	YLR286C	YLR286C_mRNA	protein_coding	0	6	2	45	20	0	0	2	0	0	0	0	6	25
CTT1	YGR088W	YGR088W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CUB1	YPL260W	YPL260W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CUE4	YML101C	YML101C_mRNA	protein_coding	0	0	0	16	5	0	0	0	0	0	0	0	0	11
CUS1	YMR240C	YMR240C_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CWC24	YLR323C	YLR323C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
CWC25	YNL245C	YNL245C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CWC27	YPL064C	YPL064C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CWH41	YGL027C	YGL027C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CWH43	YCR017C	YCR017C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CYB2	YML054C	YML054C_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	8
CYB5	YNL111C	YNL111C_mRNA	protein_coding	0	2	0	24	8	0	0	0	0	0	0	0	2	16
CYC1	YJR048W	YJR048W_mRNA	protein_coding	0	0	0	18	2	0	0	0	0	0	0	0	0	16
CYR1	YJL005W	YJL005W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DAK1	YML070W	YML070W_mRNA	protein_coding	0	3	0	30	13	0	0	0	0	0	0	0	3	17
DAS1	YJL149W	YJL149W_mRNA	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	1	0
DAT1	YML113W	YML113W_mRNA	protein_coding	0	2	0	7	7	0	0	0	0	0	0	0	2	0
DBP2	YNL112W	YNL112W_mRNA	protein_coding	0	2	0	23	20	0	3	0	0	0	0	0	2	0
DBP9	YLR276C	YLR276C_mRNA	protein_coding	0	2	0	17	8	0	0	0	0	0	0	0	2	9
DCP1	YOL149W	YOL149W_mRNA	protein_coding	0	0	0	28	14	0	0	0	0	0	0	0	0	14
DCR2	YLR361C	YLR361C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
DCS1	YLR270W	YLR270W_mRNA	protein_coding	0	1	0	16	6	0	0	0	0	0	0	0	1	10
DDC1	YPL194W	YPL194W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DDR2	YOL052C-A	YOL052C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DFG16	YOR030W	YOR030W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DFG5	YMR238W	YMR238W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DGR1	YNL130C-A	YNL130C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DIA4	YHR011W	YHR011W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DIC1	YLR348C	YLR348C_mRNA	protein_coding	0	1	0	32	11	0	0	0	0	0	0	0	1	21
DIM1	YPL266W	YPL266W_mRNA	protein_coding	0	2	0	1	1	0	0	0	0	0	0	0	2	0
DIP5	YPL265W	YPL265W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
DMA2	YNL116W	YNL116W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DNF1	YER166W	YER166W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DNF2	YDR093W	YDR093W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
DON1	YDR273W	YDR273W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DOT1	YDR440W	YDR440W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DOT5	YIL010W	YIL010W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DOT6	YER088C	YER088C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DPB2	YPR175W	YPR175W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
DPB4	YDR121W	YDR121W_mRNA	protein_coding	0	0	1	18	12	0	0	1	0	0	0	0	0	6
DPH2	YKL191W	YKL191W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DPH5	YLR172C	YLR172C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DRS2	YAL026C	YAL026C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DSF2	YBR007C	YBR007C_mRNA	protein_coding	0	2	2	37	19	0	0	2	0	0	0	0	2	18
DTD1	YDL219W	YDL219W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
DUG1	YFR044C	YFR044C_mRNA	protein_coding	0	1	0	6	5	0	0	0	0	0	0	0	1	1
DUO1	YGL061C	YGL061C_mRNA	protein_coding	1	0	0	0	0	1	0	0	0	0	0	0	0	0
DUR1,2	YBR208C	YBR208C_mRNA	protein_coding	0	8	5	17	0	0	0	5	0	0	0	0	8	17
DUS1	YML080W	YML080W_mRNA	protein_coding	0	0	0	11	9	0	0	0	0	0	0	0	0	2
DUT1	YBR252W	YBR252W_mRNA	protein_coding	0	0	0	18	18	0	0	0	0	0	0	0	0	0
EBS1	YDR206W	YDR206W_mRNA	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	1
