# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADE16	YLR028C	YLR028C_mRNA	protein_coding	0	0	0	14	2	0	0	0	0	0	0	0	0	0	12
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
ADE6	YGR061C	YGR061C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	0	45	26	0	0	0	0	0	0	0	0	0	19
ADH4	YGL256W	YGL256W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	0	1	8	8	0	0	1	0	0	0	0	0	0	0
AFB1	YLR040C	YLR040C_mRNA	protein_coding	0	0	0	10	6	0	0	0	0	0	0	0	0	0	4
AGA2	YGL032C	YGL032C_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
AGP1	YCL025C	YCL025C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
AGP3	YFL055W	YFL055W_mRNA	protein_coding	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
AHP1	YLR109W	YLR109W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
AIM32	YML050W	YML050W_mRNA	protein_coding	0	4	0	24	13	0	0	0	0	0	0	0	0	4	11
AIM33	YML087C	YML087C_mRNA	protein_coding	0	1	0	15	8	0	0	0	0	0	0	0	0	1	7
AKL1	YBR059C	YBR059C_mRNA	protein_coding	0	6	1	11	2	0	0	1	0	0	0	0	0	6	9
ALA1	YOR335C	YOR335C_mRNA	protein_coding	0	0	2	8	4	0	0	2	0	0	0	0	0	0	4
ALG11	YNL048W	YNL048W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	0	1	4	4	0	0	1	0	0	0	0	0	0	0
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	0	0	11	6	0	0	0	0	0	0	0	0	0	5
ALG7	YBR243C	YBR243C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0
ALK2	YBL009W	YBL009W_mRNA	protein_coding	0	2	0	26	13	0	0	0	0	0	0	0	0	2	13
ALO1	YML086C	YML086C_mRNA	protein_coding	0	0	0	20	9	0	0	0	0	0	0	0	0	0	11
ALT1	YLR089C	YLR089C_mRNA	protein_coding	0	3	1	21	7	0	0	1	0	0	0	0	0	3	14
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	1	1	8	3	0	0	1	0	0	0	0	0	1	5
AMD1	YML035C	YML035C_mRNA	protein_coding	0	6	0	16	1	0	0	0	0	0	0	0	0	6	15
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	1	0	12	6	0	0	0	0	0	0	0	0	1	6
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	0	0	18	16	0	0	0	0	0	0	0	0	0	2
ANT1	YPR128C	YPR128C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
APA1	YCL050C	YCL050C_mRNA	protein_coding	0	3	1	44	22	0	0	1	0	0	0	0	0	3	22
APC4	YDR118W	YDR118W_mRNA	protein_coding	0	0	0	9	4	0	0	0	0	0	0	0	0	0	5
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
APN2	YBL019W	YBL019W_mRNA	protein_coding	0	2	4	40	18	0	0	4	0	0	0	0	0	2	22
APQ13	YJL075C	YJL075C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
APS2	YJR058C	YJR058C_mRNA	protein_coding	0	2	0	34	18	0	0	0	0	0	0	0	0	2	16
AQR1	YNL065W	YNL065W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AQY1	YPR192W	YPR192W_mRNA	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10
AQY3	YFL054C	YFL054C_mRNA	protein_coding	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
ARC15	YIL062C	YIL062C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ARC18	YLR370C	YLR370C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ARC35	YNR035C	YNR035C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2
ARG5,6	YER069W	YER069W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ARG81	YML099C	YML099C_mRNA	protein_coding	0	6	8	10	2	0	0	8	0	0	0	0	0	6	8
ARO1	YDR127W	YDR127W_mRNA	protein_coding	0	1	1	17	0	0	0	1	0	0	0	0	0	1	17
ARP10	YDR106W	YDR106W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2
ARP3	YJR065C	YJR065C_mRNA	protein_coding	0	2	0	16	10	0	0	0	0	0	0	0	0	2	6
ARP6	YLR085C	YLR085C_mRNA	protein_coding	0	3	0	19	11	0	0	0	0	0	0	0	0	3	8
ART5	YGR068C	YGR068C_mRNA	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	2
ARV1	YLR242C	YLR242C_mRNA	protein_coding	0	2	0	12	9	0	0	0	0	0	0	0	0	2	3
ARX1	YDR101C	YDR101C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ASA1	YPR085C	YPR085C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ASG1	YIL130W	YIL130W_mRNA	protein_coding	0	0	1	6	4	0	0	1	0	0	0	0	0	0	2
ASP1	YDR321W	YDR321W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ATG12	YBR217W	YBR217W_mRNA	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	0	2
ATG13	YPR185W	YPR185W_mRNA	protein_coding	0	3	3	0	0	0	0	3	0	0	0	0	0	3	0
ATG22	YCL038C	YCL038C_mRNA	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0
ATG26	YLR189C	YLR189C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ATG32	YIL146C	YIL146C_mRNA	protein_coding	0	2	0	8	6	0	0	0	0	0	0	0	0	2	2
ATG33	YLR356W	YLR356W_mRNA	protein_coding	0	0	1	3	2	0	0	1	0	0	0	0	0	0	1
ATG38	YLR211C	YLR211C_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	0	3
ATG5	YPL149W	YPL149W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ATP14	YLR295C	YLR295C_mRNA	protein_coding	0	1	1	20	9	0	0	1	0	0	0	0	0	1	11
ATP18	YML081C-A	YML081C-A_mRNA	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0
ATP3	YBR039W	YBR039W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
ATR1	YML116W	YML116W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1
AVL9	YLR114C	YLR114C_mRNA	protein_coding	0	1	2	7	1	0	0	2	0	0	0	0	0	1	6
AVT4	YNL101W	YNL101W_mRNA	protein_coding	1	1	0	5	4	1	0	0	0	0	0	0	0	1	1
AXL2	YIL140W	YIL140W_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
AYR1	YIL124W	YIL124W_mRNA	protein_coding	0	1	0	9	6	0	0	0	0	0	0	0	0	1	3
BAP2	YBR068C	YBR068C_mRNA	protein_coding	0	0	1	7	2	0	0	1	0	0	0	0	0	0	5
BAP3	YDR046C	YDR046C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
BDP1	YNL039W	YNL039W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BEM2	YER155C	YER155C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BET2	YPR176C	YPR176C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BET5	YML077W	YML077W_mRNA	protein_coding	0	1	0	11	11	0	0	0	0	0	0	0	0	1	0
BFA1	YJR053W	YJR053W_mRNA	protein_coding	0	2	0	24	17	0	0	0	0	0	0	0	0	2	7
BIK1	YCL029C	YCL029C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
BMH1	YER177W	YER177W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BMH2	YDR099W	YDR099W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BMS1	YPL217C	YPL217C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BMT6	YLR063W	YLR063W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0
BNA5	YLR231C	YLR231C_mRNA	protein_coding	0	0	0	13	5	0	0	0	0	0	0	0	0	0	8
BNA6	YFR047C	YFR047C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BOP2	YLR267W	YLR267W_mRNA	protein_coding	0	1	0	19	10	0	0	0	0	0	0	0	0	1	9
BOP3	YNL042W	YNL042W_mRNA	protein_coding	0	0	0	8	1	0	0	0	0	0	0	0	0	0	7
BOS1	YLR078C	YLR078C_mRNA	protein_coding	0	2	0	30	12	0	0	0	0	0	0	0	0	2	18
BPL1	YDL141W	YDL141W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
BRE2	YLR015W	YLR015W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
BRP1	YGL007W	YGL007W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BRR6	YGL247W	YGL247W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BSC2	YDR275W	YDR275W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BSC3	YLR465C	YLR465C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BSP1	YPR171W	YPR171W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BTN2	YGR142W	YGR142W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1
BUD13	YGL174W	YGL174W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
BUD16	YEL029C	YEL029C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BUD17	YNR027W	YNR027W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BUD20	YLR074C	YLR074C_mRNA	protein_coding	0	1	2	15	3	0	0	2	0	0	0	0	0	1	12
BUD28	YLR062C	YLR062C_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
BUD3	YCL014W	YCL014W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
BUD5	YCR038C	YCR038C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BUD6	YLR319C	YLR319C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
BUD8	YLR353W	YLR353W_mRNA	protein_coding	0	1	0	4	1	0	0	0	0	0	0	0	0	1	3
BUD9	YGR041W	YGR041W_mRNA	protein_coding	0	5	7	27	21	0	0	7	0	0	0	0	0	5	6
BUL2	YML111W	YML111W_mRNA	protein_coding	0	0	0	27	22	0	0	0	0	0	0	0	0	0	5
BUR2	YLR226W	YLR226W_mRNA	protein_coding	0	0	0	9	1	0	0	0	0	0	0	0	0	0	8
CAC2	YML102W	YML102W_mRNA	protein_coding	0	0	1	6	3	0	0	1	0	0	0	0	0	0	3
CAF130	YGR134W	YGR134W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CAF40	YNL288W	YNL288W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
CAP1	YKL007W	YKL007W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CAR2	YLR438W	YLR438W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CAT2	YML042W	YML042W_mRNA	protein_coding	0	3	1	9	4	0	0	1	0	0	0	0	0	3	5
CAX4	YGR036C	YGR036C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
CBF1	YJR060W	YJR060W_mRNA	protein_coding	0	0	0	32	9	0	0	0	0	0	0	0	0	0	23
CBF2	YGR140W	YGR140W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
CBK1	YNL161W	YNL161W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CBP1	YJL209W	YJL209W_mRNA	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
CBR1	YIL043C	YIL043C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CCC1	YLR220W	YLR220W_mRNA	protein_coding	0	0	0	6	5	0	0	0	0	0	0	0	0	0	1
CCC2	YDR270W	YDR270W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CCH1	YGR217W	YGR217W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CCT2	YIL142W	YIL142W_mRNA	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2
CCT4	YDL143W	YDL143W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CCT5	YJR064W	YJR064W_mRNA	protein_coding	0	1	0	18	8	0	0	0	0	0	0	0	0	1	10
CCT8	YJL008C	YJL008C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
CCW12	YLR110C	YLR110C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CDA1	YLR307W	YLR307W_mRNA	protein_coding	0	2	0	23	16	0	0	0	0	0	0	0	0	2	7
CDA2	YLR308W	YLR308W_mRNA	protein_coding	0	4	1	18	6	0	0	1	0	0	0	0	0	4	12
CDC11	YJR076C	YJR076C_mRNA	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0
CDC123	YLR215C	YLR215C_mRNA	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	0	0	1
CDC25	YLR310C	YLR310C_mRNA	protein_coding	0	1	0	18	15	0	0	0	0	0	0	0	0	1	3
CDC26	YFR036W	YFR036W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
CDC3	YLR314C	YLR314C_mRNA	protein_coding	0	0	0	7	4	0	0	0	0	0	0	0	0	0	3
CDC42	YLR229C	YLR229C_mRNA	protein_coding	0	0	1	11	7	0	0	1	0	0	0	0	0	0	4
CDC45	YLR103C	YLR103C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
CDC8	YJR057W	YJR057W_mRNA	protein_coding	0	3	1	39	18	0	0	1	0	0	0	0	0	3	21
CDD1	YLR245C	YLR245C_mRNA	protein_coding	0	0	0	14	5	0	0	0	0	0	0	0	0	0	9
CFT2	YLR115W	YLR115W_mRNA	protein_coding	0	1	1	13	8	0	0	1	0	0	0	0	0	1	5
CGI121	YML036W	YML036W_mRNA	protein_coding	0	0	0	16	15	0	0	0	0	0	0	0	0	0	1
CHA1	YCL064C	YCL064C_mRNA	protein_coding	0	3	0	34	13	0	0	0	0	0	0	0	0	3	21
CHA4	YLR098C	YLR098C_mRNA	protein_coding	0	1	0	6	4	0	0	0	0	0	0	0	0	1	2
CHO2	YGR157W	YGR157W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
CHS3	YBR023C	YBR023C_mRNA	protein_coding	0	1	1	8	8	0	0	1	0	0	0	0	0	1	0
CHS5	YLR330W	YLR330W_mRNA	protein_coding	0	1	0	6	3	0	0	0	0	0	0	0	0	1	3
CIN1	YOR349W	YOR349W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
CIS1	YLR346C	YLR346C_mRNA	protein_coding	0	0	1	8	8	0	0	1	0	0	0	0	0	0	0
CKI1	YLR133W	YLR133W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CLB4	YLR210W	YLR210W_mRNA	protein_coding	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0
CLC1	YGR167W	YGR167W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CLD1	YGR110W	YGR110W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
CLF1	YLR117C	YLR117C_mRNA	protein_coding	0	3	1	8	7	0	0	1	0	0	0	0	0	3	1
CLG1	YGL215W	YGL215W_mRNA	protein_coding	0	2	0	12	5	0	0	0	0	1	0	0	1	1	7
CMG1	YLR271W	YLR271W_mRNA	protein_coding	0	2	2	15	6	0	0	2	0	0	0	0	0	2	9
CNN1	YFR046C	YFR046C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
COA2	YPL189C-A	YPL189C-A_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
COA4	YLR218C	YLR218C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2
COG1	YGL223C	YGL223C_mRNA	protein_coding	0	0	0	12	9	0	0	0	0	0	0	0	0	0	3
COG2	YGR120C	YGR120C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
COG6	YNL041C	YNL041C_mRNA	protein_coding	0	0	0	8	7	0	0	0	0	0	0	0	0	0	1
COG8	YML071C	YML071C_mRNA	protein_coding	0	1	0	14	8	0	0	0	0	0	0	0	0	1	6
COQ1	YBR003W	YBR003W_mRNA	protein_coding	0	3	1	37	22	0	0	1	0	0	0	0	0	3	15
COQ11	YLR290C	YLR290C_mRNA	protein_coding	0	1	0	29	17	0	0	0	0	0	0	0	0	1	12
COQ5	YML110C	YML110C_mRNA	protein_coding	0	1	2	25	3	0	0	2	0	0	0	0	0	1	22
COS12	YGL263W	YGL263W_mRNA	protein_coding	0	0	0	5	2	0	0	0	0	0	0	0	0	0	3
COS3	YML132W	YML132W_mRNA	protein_coding	0	0	0	19	19	0	0	0	0	0	0	0	0	0	0
COS9	YKL219W	YKL219W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
COX11	YPL132W	YPL132W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
COX12	YLR038C	YLR038C_mRNA	protein_coding	0	0	0	10	5	0	0	0	0	0	0	0	0	0	5
COX14	YML129C	YML129C_mRNA	protein_coding	0	0	0	35	13	0	0	0	0	0	0	0	0	0	22
COX18	YGR062C	YGR062C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
COX26	YDR119W-A	YDR119W-A_mRNA	protein_coding	0	0	0	11	10	0	0	0	0	0	0	0	0	0	1
CPR3	YML078W	YML078W_mRNA	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0
CPR6	YLR216C	YLR216C_mRNA	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	0	0	1
CPR7	YJR032W	YJR032W_mRNA	protein_coding	0	1	1	19	6	0	0	1	0	0	0	0	0	1	13
CPR8	YNR028W	YNR028W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CPT1	YNL130C	YNL130C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CRD1	YDL142C	YDL142C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CRP1	YHR146W	YHR146W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CRR1	YLR213C	YLR213C_mRNA	protein_coding	1	0	1	2	1	0	0	1	0	0	0	1	0	0	1
CSC1	YLR241W	YLR241W_mRNA	protein_coding	0	3	0	10	4	0	0	0	0	0	0	0	0	3	6
CSE1	YGL238W	YGL238W_mRNA	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0
CSF1	YLR087C	YLR087C_mRNA	protein_coding	0	10	3	14	8	0	0	3	0	0	0	0	0	10	6
CSM2	YIL132C	YIL132C_mRNA	protein_coding	0	1	1	3	2	0	0	1	0	0	0	0	0	1	1
CST26	YBR042C	YBR042C_mRNA	protein_coding	0	1	1	6	0	0	0	1	0	0	0	0	0	1	6
CTF4	YPR135W	YPR135W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CTK3	YML112W	YML112W_mRNA	protein_coding	0	2	0	6	4	0	0	0	0	0	0	0	0	2	2
CTO1	YCR015C	YCR015C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CTR9	YOL145C	YOL145C_mRNA	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0
CTS1	YLR286C	YLR286C_mRNA	protein_coding	0	6	3	26	11	0	0	3	0	0	0	0	0	6	15
CUE4	YML101C	YML101C_mRNA	protein_coding	0	0	0	7	3	0	0	0	0	0	0	0	0	0	4
CUS2	YNL286W	YNL286W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CWH43	YCR017C	YCR017C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CYB2	YML054C	YML054C_mRNA	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
CYB5	YNL111C	YNL111C_mRNA	protein_coding	0	1	0	17	7	0	0	0	0	0	0	0	0	1	10
CYC1	YJR048W	YJR048W_mRNA	protein_coding	0	0	0	16	3	0	0	0	0	0	0	0	0	0	13
CYS4	YGR155W	YGR155W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
DAD4	YDR320C-A	YDR320C-A_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DAK1	YML070W	YML070W_mRNA	protein_coding	0	1	3	5	1	0	0	3	0	0	0	0	0	1	4
DAK2	YFL053W	YFL053W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
DAL3	YIR032C	YIR032C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DAM1	YGR113W	YGR113W_mRNA	protein_coding	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1
DAT1	YML113W	YML113W_mRNA	protein_coding	0	2	0	3	3	0	0	0	0	0	0	0	0	2	0
DBP2	YNL112W	YNL112W_mRNA	protein_coding	0	1	0	15	12	0	3	0	0	0	0	0	0	1	0
DBP5	YOR046C	YOR046C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DBP6	YNR038W	YNR038W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
DBP9	YLR276C	YLR276C_mRNA	protein_coding	0	0	0	22	14	0	0	0	0	0	0	0	0	0	8
DCC1	YCL016C	YCL016C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
DCD1	YHR144C	YHR144C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DCP1	YOL149W	YOL149W_mRNA	protein_coding	0	0	0	27	12	0	0	0	0	0	0	0	0	0	15
DCR2	YLR361C	YLR361C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
DCS1	YLR270W	YLR270W_mRNA	protein_coding	0	1	0	15	8	0	0	0	0	0	0	0	0	1	7
DGR1	YNL130C-A	YNL130C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
DIC1	YLR348C	YLR348C_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	0	3
DIF1	YLR437C	YLR437C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DIM1	YPL266W	YPL266W_mRNA	protein_coding	0	2	0	4	0	0	0	0	0	0	0	0	0	2	4
DIP5	YPL265W	YPL265W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
DIS3	YOL021C	YOL021C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
DMA2	YNL116W	YNL116W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
DNF2	YDR093W	YDR093W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
DON1	YDR273W	YDR273W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
DOT5	YIL010W	YIL010W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
