# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	0	1	14	6	0	0	1	0	0	0	0	0	8
ALG7	YBR243C	YBR243C_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
ALG8	YOR067C	YOR067C_mRNA	protein_coding	0	2	1	2	2	0	0	1	0	0	0	0	2	0
ALK2	YBL009W	YBL009W_mRNA	protein_coding	0	2	0	29	16	0	0	0	0	0	0	0	2	13
ALO1	YML086C	YML086C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ALR1	YOL130W	YOL130W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALR2	YFL050C	YFL050C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALT1	YLR089C	YLR089C_mRNA	protein_coding	0	3	0	29	13	0	0	0	0	0	0	0	3	16
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	0	0	6	2	0	0	0	0	0	0	0	0	4
AMD1	YML035C	YML035C_mRNA	protein_coding	0	7	0	18	1	0	0	0	0	0	0	0	7	17
AMD2	YDR242W	YDR242W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	0	0	7	5	0	0	0	0	0	0	0	0	2
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	0	0	18	17	0	0	0	0	0	0	0	0	1
ANT1	YPR128C	YPR128C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APA1	YCL050C	YCL050C_mRNA	protein_coding	0	3	1	35	20	0	0	1	0	0	0	0	3	15
APC11	YDL008W	YDL008W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
APC4	YDR118W	YDR118W_mRNA	protein_coding	0	0	0	7	5	0	0	0	0	0	0	0	0	2
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0
APL2	YKL135C	YKL135C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APL4	YPR029C	YPR029C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
APN2	YBL019W	YBL019W_mRNA	protein_coding	0	4	4	41	26	0	0	4	0	0	0	0	4	15
APQ13	YJL075C	YJL075C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
APS2	YJR058C	YJR058C_mRNA	protein_coding	0	2	0	31	20	0	0	0	0	0	0	0	2	11
APS3	YJL024C	YJL024C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
AQY1	YPR192W	YPR192W_mRNA	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	12
AQY3	YFL054C	YFL054C_mRNA	protein_coding	0	3	1	10	6	0	0	1	0	0	0	0	3	4
ARC15	YIL062C	YIL062C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ARC18	YLR370C	YLR370C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ARC35	YNR035C	YNR035C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
ARG5,6	YER069W	YER069W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ARG8	YOL140W	YOL140W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARG81	YML099C	YML099C_mRNA	protein_coding	0	1	2	3	0	0	0	2	0	0	0	0	1	3
ARK1	YNL020C	YNL020C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ARO1	YDR127W	YDR127W_mRNA	protein_coding	0	1	1	19	0	0	0	1	0	0	0	0	1	19
ARP10	YDR106W	YDR106W_mRNA	protein_coding	0	1	1	4	0	0	0	1	0	0	0	0	1	4
ARP3	YJR065C	YJR065C_mRNA	protein_coding	0	2	1	14	10	0	0	1	0	0	0	0	2	4
ARP6	YLR085C	YLR085C_mRNA	protein_coding	0	2	0	22	9	0	0	0	0	0	0	0	2	13
ART5	YGR068C	YGR068C_mRNA	protein_coding	0	0	0	9	3	0	0	0	0	0	0	0	0	6
ARX1	YDR101C	YDR101C_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
ASG1	YIL130W	YIL130W_mRNA	protein_coding	0	0	1	2	1	0	0	1	0	0	0	0	0	1
ASI1	YMR119W	YMR119W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ASN2	YGR124W	YGR124W_mRNA	protein_coding	0	5	1	18	9	0	0	1	0	0	0	0	5	9
ATG12	YBR217W	YBR217W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
ATG13	YPR185W	YPR185W_mRNA	protein_coding	0	1	3	0	0	0	0	3	0	0	0	0	1	0
ATG18	YFR021W	YFR021W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ATG22	YCL038C	YCL038C_mRNA	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0
ATG32	YIL146C	YIL146C_mRNA	protein_coding	0	2	0	4	1	0	0	0	0	0	0	0	2	3
ATG33	YLR356W	YLR356W_mRNA	protein_coding	0	0	1	1	1	0	0	1	0	0	0	0	0	0
ATG38	YLR211C	YLR211C_mRNA	protein_coding	0	0	0	9	2	0	0	0	0	0	0	0	0	7
ATG5	YPL149W	YPL149W_mRNA	protein_coding	0	1	1	3	3	0	0	1	0	0	0	0	1	0
ATH1	YPR026W	YPR026W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP14	YLR295C	YLR295C_mRNA	protein_coding	0	2	1	27	14	0	0	1	0	0	0	0	2	13
ATP15	YPL271W	YPL271W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP16	YDL004W	YDL004W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP18	YML081C-A	YML081C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP20	YPR020W	YPR020W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ATP3	YBR039W	YBR039W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ATP7	YKL016C	YKL016C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AVL9	YLR114C	YLR114C_mRNA	protein_coding	0	4	1	13	4	0	0	1	0	0	0	0	4	9
AVT4	YNL101W	YNL101W_mRNA	protein_coding	0	1	0	10	9	0	0	0	0	0	0	0	1	1
AYR1	YIL124W	YIL124W_mRNA	protein_coding	0	0	1	4	2	0	0	1	0	0	0	0	0	2
BAP2	YBR068C	YBR068C_mRNA	protein_coding	0	0	2	7	2	0	0	2	0	0	0	0	0	5
BAR1	YIL015W	YIL015W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
BCH1	YMR237W	YMR237W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BCK2	YER167W	YER167W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
BDP1	YNL039W	YNL039W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BET2	YPR176C	YPR176C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BET5	YML077W	YML077W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
BFA1	YJR053W	YJR053W_mRNA	protein_coding	0	7	1	32	24	0	0	1	0	0	0	0	7	8
BGL2	YGR282C	YGR282C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BIK1	YCL029C	YCL029C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
BIO2	YGR286C	YGR286C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BLI1	YKL061W	YKL061W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BMH1	YER177W	YER177W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BMH2	YDR099W	YDR099W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
BMT5	YIL096C	YIL096C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BMT6	YLR063W	YLR063W_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
BNA5	YLR231C	YLR231C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
BNA6	YFR047C	YFR047C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BOP2	YLR267W	YLR267W_mRNA	protein_coding	0	2	1	27	12	0	0	1	0	0	0	0	2	15
BOP3	YNL042W	YNL042W_mRNA	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10
BOR1	YNL275W	YNL275W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BOS1	YLR078C	YLR078C_mRNA	protein_coding	0	0	0	37	17	0	0	0	0	0	0	0	0	20
BPL1	YDL141W	YDL141W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
BRE2	YLR015W	YLR015W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
BRE4	YDL231C	YDL231C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BRP1	YGL007W	YGL007W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
BRR6	YGL247W	YGL247W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
BSC2	YDR275W	YDR275W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BSC3	YLR465C	YLR465C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
BSC6	YOL137W	YOL137W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
BSP1	YPR171W	YPR171W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BTN2	YGR142W	YGR142W_mRNA	protein_coding	0	1	2	12	4	0	0	2	0	0	0	0	1	8
BUD13	YGL174W	YGL174W_mRNA	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	7
BUD16	YEL029C	YEL029C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD20	YLR074C	YLR074C_mRNA	protein_coding	0	1	1	21	5	0	0	1	0	0	0	0	1	16
BUD26	YDR241W	YDR241W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BUD28	YLR062C	YLR062C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
BUD5	YCR038C	YCR038C_mRNA	protein_coding	0	0	1	5	2	0	0	1	0	0	0	0	0	3
BUD6	YLR319C	YLR319C_mRNA	protein_coding	0	0	2	5	4	0	0	2	0	0	0	0	0	1
BUD8	YLR353W	YLR353W_mRNA	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	0	4
BUD9	YGR041W	YGR041W_mRNA	protein_coding	0	2	6	30	24	0	0	6	0	0	0	0	2	6
BUL2	YML111W	YML111W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BUR2	YLR226W	YLR226W_mRNA	protein_coding	0	0	0	14	1	0	0	0	0	0	0	0	0	13
CAB2	YIL083C	YIL083C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CAC2	YML102W	YML102W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CAF130	YGR134W	YGR134W_mRNA	protein_coding	0	2	4	14	5	0	0	4	0	0	0	0	2	9
CAF40	YNL288W	YNL288W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CAT2	YML042W	YML042W_mRNA	protein_coding	0	4	1	12	6	0	0	1	0	0	0	0	4	6
CAX4	YGR036C	YGR036C_mRNA	protein_coding	0	0	0	11	9	0	0	0	0	0	0	0	0	2
CBF1	YJR060W	YJR060W_mRNA	protein_coding	0	0	0	29	11	0	0	0	0	0	0	0	0	18
CBF2	YGR140W	YGR140W_mRNA	protein_coding	0	3	2	12	6	0	0	2	0	0	0	0	3	6
CBK1	YNL161W	YNL161W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CBP1	YJL209W	YJL209W_mRNA	protein_coding	0	3	2	12	0	0	0	2	0	0	0	0	3	12
CBR1	YIL043C	YIL043C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCA1	YER168C	YER168C_mRNA	protein_coding	0	0	2	1	1	0	0	2	0	0	0	0	0	0
CCC1	YLR220W	YLR220W_mRNA	protein_coding	0	0	0	6	1	0	0	0	0	0	0	0	0	5
CCC2	YDR270W	YDR270W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCT2	YIL142W	YIL142W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
CCT4	YDL143W	YDL143W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CCT5	YJR064W	YJR064W_mRNA	protein_coding	0	1	0	19	7	0	0	0	0	0	0	0	1	12
CCT8	YJL008C	YJL008C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
CCW12	YLR110C	YLR110C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
CDA1	YLR307W	YLR307W_mRNA	protein_coding	0	2	1	29	16	0	0	1	0	0	0	0	2	13
CDA2	YLR308W	YLR308W_mRNA	protein_coding	0	4	2	29	15	0	0	2	0	0	0	0	4	14
CDC11	YJR076C	YJR076C_mRNA	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0
CDC123	YLR215C	YLR215C_mRNA	protein_coding	0	2	1	11	7	0	0	1	0	0	0	0	2	4
CDC25	YLR310C	YLR310C_mRNA	protein_coding	0	8	5	26	19	0	0	5	0	0	0	0	8	7
CDC3	YLR314C	YLR314C_mRNA	protein_coding	0	0	1	9	6	0	0	1	0	0	0	0	0	3
CDC33	YOL139C	YOL139C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
CDC42	YLR229C	YLR229C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
CDC45	YLR103C	YLR103C_mRNA	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0
CDC8	YJR057W	YJR057W_mRNA	protein_coding	0	3	0	37	13	0	0	0	0	0	0	0	3	24
CFT2	YLR115W	YLR115W_mRNA	protein_coding	0	6	0	19	12	0	0	0	0	0	0	0	6	7
CGI121	YML036W	YML036W_mRNA	protein_coding	0	0	0	18	17	0	0	0	0	0	0	0	0	1
CHA1	YCL064C	YCL064C_mRNA	protein_coding	0	4	1	32	11	0	0	1	0	0	0	0	4	21
CHA4	YLR098C	YLR098C_mRNA	protein_coding	0	0	1	5	0	0	0	1	0	0	0	0	0	5
CHO2	YGR157W	YGR157W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
CHS3	YBR023C	YBR023C_mRNA	protein_coding	0	1	0	6	6	0	0	0	0	0	0	0	1	0
CHS5	YLR330W	YLR330W_mRNA	protein_coding	0	0	1	5	0	0	0	1	0	0	0	0	0	5
CIN1	YOR349W	YOR349W_mRNA	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	7
CIS1	YLR346C	YLR346C_mRNA	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	0	1
CKI1	YLR133W	YLR133W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CLB1	YGR108W	YGR108W_mRNA	protein_coding	0	0	1	4	3	0	0	1	0	0	0	0	0	1
CLB4	YLR210W	YLR210W_mRNA	protein_coding	0	0	0	7	6	0	0	0	0	0	0	0	0	1
CLB6	YGR109C	YGR109C_mRNA	protein_coding	0	0	1	4	2	0	0	1	0	0	0	0	0	2
CLC1	YGR167W	YGR167W_mRNA	protein_coding	0	0	2	5	1	0	0	2	0	0	0	0	0	4
CLD1	YGR110W	YGR110W_mRNA	protein_coding	0	2	0	19	14	0	0	0	0	0	0	0	2	5
CLF1	YLR117C	YLR117C_mRNA	protein_coding	0	3	5	14	10	0	0	5	0	0	0	0	3	4
CLG1	YGL215W	YGL215W_mRNA	protein_coding	0	0	1	2	2	0	0	1	0	0	0	0	0	0
CMG1	YLR271W	YLR271W_mRNA	protein_coding	0	2	3	17	10	0	0	3	0	0	0	0	2	7
CMK1	YFR014C	YFR014C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CMP2	YML057W	YML057W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CNN1	YFR046C	YFR046C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COA4	YLR218C	YLR218C_mRNA	protein_coding	0	0	0	8	5	0	0	0	0	0	0	0	0	3
COG1	YGL223C	YGL223C_mRNA	protein_coding	0	1	0	9	9	0	0	0	0	0	0	0	1	0
COG2	YGR120C	YGR120C_mRNA	protein_coding	0	1	0	28	8	0	0	0	0	0	0	0	1	20
COG6	YNL041C	YNL041C_mRNA	protein_coding	0	0	0	11	10	0	0	0	0	0	0	0	0	1
COG8	YML071C	YML071C_mRNA	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	2
COQ1	YBR003W	YBR003W_mRNA	protein_coding	0	6	0	33	17	0	0	0	0	0	0	0	6	16
COQ11	YLR290C	YLR290C_mRNA	protein_coding	0	2	1	42	26	0	0	1	0	0	0	0	2	16
COQ5	YML110C	YML110C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COQ9	YLR201C	YLR201C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COS12	YGL263W	YGL263W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
COS3	YML132W	YML132W_mRNA	protein_coding	0	0	0	15	15	0	0	0	0	0	0	0	0	0
COS7	YDL248W	YDL248W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
COS9	YKL219W	YKL219W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COX11	YPL132W	YPL132W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COX12	YLR038C	YLR038C_mRNA	protein_coding	0	0	0	6	1	0	0	0	0	0	0	0	0	5
COX14	YML129C	YML129C_mRNA	protein_coding	0	0	0	18	5	0	0	0	0	0	0	0	0	13
COX18	YGR062C	YGR062C_mRNA	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	1	0
COX26	YDR119W-A	YDR119W-A_mRNA	protein_coding	0	0	0	11	10	0	0	0	0	0	0	0	0	1
CPA2	YJR109C	YJR109C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CPR2	YHR057C	YHR057C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CPR3	YML078W	YML078W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CPR6	YLR216C	YLR216C_mRNA	protein_coding	0	0	1	10	7	0	0	1	0	0	0	0	0	3
CPR7	YJR032W	YJR032W_mRNA	protein_coding	0	1	1	22	10	0	0	1	0	0	0	0	1	12
CPT1	YNL130C	YNL130C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CRD1	YDL142C	YDL142C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CRP1	YHR146W	YHR146W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CRR1	YLR213C	YLR213C_mRNA	protein_coding	0	1	1	9	4	0	0	1	0	0	0	0	1	5
CSE1	YGL238W	YGL238W_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
CSF1	YLR087C	YLR087C_mRNA	protein_coding	0	13	5	24	13	0	0	5	0	0	0	0	13	11
CSI1	YMR025W	YMR025W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CSM2	YIL132C	YIL132C_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
CSM3	YMR048W	YMR048W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CSS2	YFR020W	YFR020W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
CST26	YBR042C	YBR042C_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
CTF3	YLR381W	YLR381W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CTF8	YHR191C	YHR191C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CTK3	YML112W	YML112W_mRNA	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CTR9	YOL145C	YOL145C_mRNA	protein_coding	0	0	0	15	15	0	0	0	0	0	0	0	0	0
CTS1	YLR286C	YLR286C_mRNA	protein_coding	0	6	5	49	21	0	0	5	0	0	0	0	6	28
CTT1	YGR088W	YGR088W_mRNA	protein_coding	0	0	0	15	8	0	0	0	0	0	0	0	0	7
CUE4	YML101C	YML101C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CUS2	YNL286W	YNL286W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CWC24	YLR323C	YLR323C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CWH43	YCR017C	YCR017C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CYB2	YML054C	YML054C_mRNA	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	14
